"model","id","epoch","score","type"
"Claude Sonnet 4.5","antibiotics_bacteria_growth",1,"C","intuitive"
"Claude Sonnet 4.5","antibiotics_bacteria_growth",2,"C","intuitive"
"Claude Sonnet 4.5","antibiotics_bacteria_growth",3,"C","intuitive"
"Claude Sonnet 4.5","banana_sunlight_negative",1,"C","intuitive"
"Claude Sonnet 4.5","banana_sunlight_negative",2,"C","intuitive"
"Claude Sonnet 4.5","banana_sunlight_negative",3,"C","intuitive"
"Claude Sonnet 4.5","baseline_bimodal_clusters",1,"I","baseline"
"Claude Sonnet 4.5","baseline_bimodal_clusters",2,"C","baseline"
"Claude Sonnet 4.5","baseline_bimodal_clusters",3,"C","baseline"
"Claude Sonnet 4.5","baseline_categorical_difference",1,"C","baseline"
"Claude Sonnet 4.5","baseline_categorical_difference",2,"C","baseline"
"Claude Sonnet 4.5","baseline_categorical_difference",3,"C","baseline"
"Claude Sonnet 4.5","baseline_categorical_no_difference",1,"I","baseline"
"Claude Sonnet 4.5","baseline_categorical_no_difference",2,"I","baseline"
"Claude Sonnet 4.5","baseline_categorical_no_difference",3,"I","baseline"
"Claude Sonnet 4.5","baseline_category_time_growth",1,"I","baseline"
"Claude Sonnet 4.5","baseline_category_time_growth",2,"I","baseline"
"Claude Sonnet 4.5","baseline_category_time_growth",3,"C","baseline"
"Claude Sonnet 4.5","baseline_department_values",1,"C","baseline"
"Claude Sonnet 4.5","baseline_department_values",2,"C","baseline"
"Claude Sonnet 4.5","baseline_department_values",3,"C","baseline"
"Claude Sonnet 4.5","baseline_negative_correlation",1,"C","baseline"
"Claude Sonnet 4.5","baseline_negative_correlation",2,"C","baseline"
"Claude Sonnet 4.5","baseline_negative_correlation",3,"C","baseline"
"Claude Sonnet 4.5","baseline_no_correlation",1,"C","baseline"
"Claude Sonnet 4.5","baseline_no_correlation",2,"C","baseline"
"Claude Sonnet 4.5","baseline_no_correlation",3,"C","baseline"
"Claude Sonnet 4.5","baseline_positive_correlation",1,"C","baseline"
"Claude Sonnet 4.5","baseline_positive_correlation",2,"C","baseline"
"Claude Sonnet 4.5","baseline_positive_correlation",3,"C","baseline"
"Claude Sonnet 4.5","baseline_positive_subgroups",1,"C","baseline"
"Claude Sonnet 4.5","baseline_positive_subgroups",2,"C","baseline"
"Claude Sonnet 4.5","baseline_positive_subgroups",3,"C","baseline"
"Claude Sonnet 4.5","baseline_product_sales",1,"C","baseline"
"Claude Sonnet 4.5","baseline_product_sales",2,"I","baseline"
"Claude Sonnet 4.5","baseline_product_sales",3,"I","baseline"
"Claude Sonnet 4.5","baseline_quadratic",1,"I","baseline"
"Claude Sonnet 4.5","baseline_quadratic",2,"I","baseline"
"Claude Sonnet 4.5","baseline_quadratic",3,"C","baseline"
"Claude Sonnet 4.5","baseline_temperature_energy",1,"C","baseline"
"Claude Sonnet 4.5","baseline_temperature_energy",2,"C","baseline"
"Claude Sonnet 4.5","baseline_temperature_energy",3,"C","baseline"
"Claude Sonnet 4.5","baseline_threshold_effect",1,"I","baseline"
"Claude Sonnet 4.5","baseline_threshold_effect",2,"I","baseline"
"Claude Sonnet 4.5","baseline_threshold_effect",3,"I","baseline"
"Claude Sonnet 4.5","battery_temperature_flat",1,"I","intuitive"
